,index,networkx_function,num_np_calls,np_calls,np_calls_w_args
65,1988,/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_matrix_weighted,3,"['array', 'testing.assert_equal', 'testing.assert_equal']","['array([[0.0, 1.0], [1.0, 6.0]])', 'testing.assert_equal(a, a_result)', 'testing.assert_equal(a, a_result / float(a_result.sum()))']"
66,5691,/tests/test_all_random_functions.py_test_rng_interface,3,"['random.RandomState', 'random.seed', 'random.rand']","['random.RandomState(14)', 'random.seed(42)', 'random.rand()']"
67,5686,/tests/test_convert_numpy.py_test_to_numpy_array_structured_dtype_nonedge_ary,3,"['dtype', 'array', 'inf']","['dtype([(""weight"", float), (""cost"", float)])', 'array([(0, np.inf)], dtype=dtype)']"
68,1993,/algorithms/assortativity/tests/test_mixing.py_test_attribute_mixing_matrix_undirected,3,"['array', 'testing.assert_equal', 'testing.assert_equal']","['array([[2, 0, 1, 0], [0, 2, 0, 1], [1, 0, 0, 0], [0, 1, 0, 0]])', 'testing.assert_equal(a, a_result)', 'testing.assert_equal(a, a_result / a_result.sum())']"
69,1994,/algorithms/assortativity/tests/test_mixing.py_test_attribute_mixing_matrix_directed,3,"['array', 'testing.assert_equal', 'testing.assert_equal']","['array([[1, 0, 1, 0], [0, 1, 0, 1], [0, 0, 0, 0], [0, 0, 0, 0]])', 'testing.assert_equal(a, a_result)', 'testing.assert_equal(a, a_result / a_result.sum())']"
70,100,/drawing/nx_pylab.py_apply_alpha,3,"['array', 'array', 'resize']","['array([mpl.colors.colorConverter.to_rgba(colors)])', 'resize(rgba_colors, (len(elem_list), 4))']"
71,1995,/algorithms/assortativity/tests/test_mixing.py_test_attribute_mixing_matrix_multigraph,3,"['array', 'testing.assert_equal', 'testing.assert_equal']","['array([[4, 0, 0, 0], [0, 2, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]])', 'testing.assert_equal(a, a_result)', 'testing.assert_equal(a, a_result / a_result.sum())']"
72,4537,/utils/tests/test_decorators.py_test_random_state_None,3,"['random.seed', 'random.random_sample', 'random.seed']","['random.seed(42)', 'random.random_sample()', 'random.seed(42)']"
73,1996,/algorithms/assortativity/tests/test_mixing.py_test_attribute_mixing_matrix_negative,3,"['array', 'testing.assert_equal', 'testing.assert_equal']","['array([[4.0, 1.0, 1.0], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0]])', 'testing.assert_equal(a, a_result)', 'testing.assert_equal(a, a_result / float(a_result.sum()))']"
74,1997,/algorithms/assortativity/tests/test_mixing.py_test_attribute_mixing_matrix_float,3,"['array', 'testing.assert_equal', 'testing.assert_equal']","['array([[6.0, 1.0], [1.0, 0.0]])', 'testing.assert_equal(a, a_result)', 'testing.assert_equal(a, a_result / a_result.sum())']"
75,4375,/linalg/tests/test_modularity.py_test_modularity_weight,3,"['array', 'testing.assert_equal', 'testing.assert_equal']","['testing.assert_equal(nx.modularity_matrix(G_weighted), B)']"
76,5603,/tests/test_convert_scipy.py_test_weight_keyword,3,"['testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal']",[]
77,5860,/readwrite/tests/test_gml.py_test_special_float_label,3,"['nan', 'inf', 'inf']",[]
78,202,/drawing/tests/test_layout.py_check_kamada_kawai_costfn,3,"['sum', 'sum', 'linalg.norm']","['sum(np.sum(pos, axis=0) ** 2)', 'linalg.norm(pos[i] - pos[j])']"
79,203,/drawing/tests/test_layout.py_test_kamada_kawai_costfn,3,"['array', 'array', 'array']","['array([[0.1, 2.1, 1.7], [2.1, 0.2, 0.6], [1.7, 0.6, 0.3]])', 'array([[1.3, -3.2], [2.7, -0.3], [5.1, 2.5]])', 'array([[0.9, 8.6, -8.7], [-10, -0.5, -7.1], [9.1, -8.1, 1.6]])']"
80,1986,/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_matrix_multigraph,3,"['array', 'testing.assert_equal', 'testing.assert_equal']","['testing.assert_equal(a, a_result)', 'testing.assert_equal(a, a_result / a_result.sum())']"
81,5616,/tests/test_lazy_imports.py_test_lazy_import_nonbuiltins,3,"['sin', 'pi', 'pi']",['sin(np.pi)']
82,286,/algorithms/non_randomness.py_non_randomness,3,"['linalg.eigvals', 'real', 'sum']","['linalg.eigvals(nx.to_numpy_array(G, weight=weight))', 'real(np.sum(eigenvalues[:k]))']"
83,213,/drawing/tests/test_layout.py_test_bfs_layout_barbell,3,"['array_equal', 'array_equal', 'array_equal']","['array_equal(_num_nodes_per_bfs_layer(pos), expected_nodes_per_layer)', 'array_equal(_num_nodes_per_bfs_layer(pos), expected_nodes_per_layer)', 'array_equal(_num_nodes_per_bfs_layer(pos), expected_nodes_per_layer)']"
84,5685,/tests/test_convert_numpy.py_test_to_numpy_array_structured_dtype_scalar_nonedge,3,"['dtype', 'nan', 'nan']","['dtype([(""weight"", float), (""cost"", float)])']"
85,83,/drawing/nx_pylab.py_self_loop_connection,3,"['all', 'asarray', 'array']","['all(posA == posB)', 'array([x, y])']"
86,1985,/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_matrix_directed,3,"['array', 'testing.assert_equal', 'testing.assert_equal']","['testing.assert_equal(a, a_result)', 'testing.assert_equal(a, a_result / a_result.sum())']"
87,5665,/tests/test_convert_numpy.py_test_weight_keyword,3,"['testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal']","['testing.assert_equal(A, nx.to_numpy_array(WP4, weight=None))', 'testing.assert_equal(0.5 * A, nx.to_numpy_array(WP4))', 'testing.assert_equal(0.3 * A, nx.to_numpy_array(WP4, weight=""other""))']"
88,369,/algorithms/distance_measures.py_effective_graph_resistance,3,"['inf', 'sort', 'sum']","['sort(nx.laplacian_spectrum(G, weight=weight))', 'sum(1 / mu[1:]) * G.number_of_nodes()']"
89,1984,/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_matrix_undirected,3,"['array', 'testing.assert_equal', 'testing.assert_equal']","['testing.assert_equal(a, a_result)', 'testing.assert_equal(a, a_result / a_result.sum())']"
90,4345,/linalg/tests/test_attrmatrix.py_test_attr_sparse_matrix_directed,3,"['array', 'testing.assert_equal', 'array']","['testing.assert_equal(M.todense(), np.array(data))']"
91,85,/drawing/nx_pylab.py___call__,3,"['iterable', 'iterable', 'iterable']","['iterable(self.node_size)', 'iterable(self.linewidth)', 'iterable(self.style)']"
92,348,/algorithms/node_classification.py_harmonic_function,3,"['zeros', 'zeros', 'argmax']","['zeros((n_samples, n_classes))', 'zeros((n_samples, n_classes))', 'argmax(F, axis=1)].tolist()']"
93,61,/drawing/layout.py__sparse_spectral,3,"['sqrt', 'argsort', 'real']","['sqrt(nnodes)))', 'argsort(eigenvalues)', 'real(eigenvectors[:, index])']"
94,760,/algorithms/centrality/subgraph_alg.py_communicability_betweenness_centrality,3,"['nonzero', 'diag', 'diag']","['nonzero(A)', 'diag(np.diag(B))']"
95,4342,/linalg/tests/test_attrmatrix.py_test_attr_matrix_directed,3,"['array', 'testing.assert_equal', 'array']","['testing.assert_equal(M, np.array(data))']"
96,1565,/algorithms/link_analysis/hits_alg.py__hits_scipy,3,"['ones', 'array', 'absolute']","['ones((n, 1))', 'array([nstart.get(n, 0) for n in list(G)], dtype=float)', 'absolute(x - xlast).sum()']"
97,2668,/algorithms/tests/test_threshold.py_test_eigenvectors,3,"['linalg.eigvals', 'testing.assert_allclose', 'dot']","['testing.assert_allclose([np.dot(lv, lv) for lv in tgevec], 1.0, rtol=1e-9)']"
