networkx_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/algorithms/approximation/traveling_salesman.py_simulated_annealing_tsp,1.0,0,0,[],[]
/algorithms/approximation/traveling_salesman.py_spanning_tree_distribution,1.0,0,0,[],[]
/algorithms/approximation/traveling_salesman.py_swap_two_nodes,1.0,0,0,[],[]
/algorithms/approximation/traveling_salesman.py_threshold_accepting_tsp,1.0,0,0,[],[]
/algorithms/approximation/treewidth.py___init__,1.0,0,0,[],[]
/algorithms/approximation/treewidth.py_best_node,1.0,0,0,[],[]
/algorithms/approximation/treewidth.py_treewidth_decomp,1.0,0,0,[],[]
/algorithms/approximation/treewidth.py_treewidth_min_fill_in,1.0,0,0,[],[]
/algorithms/approximation/vertex_cover.py_min_weighted_vertex_cover,1.0,0,0,[],[]
/algorithms/assortativity/connectivity.py_average_degree_connectivity,1.0,0,0,[],[]
/algorithms/assortativity/correlation.py__numeric_ac,0.75,4,3,['sqrt' 'sqrt' 'outer' 'array'],"['array_api._elementwise_functions.sqrt' 'pdarrayclass.sqrt'
 'pdarraycreation.array']"
/algorithms/assortativity/correlation.py_attribute_ac,1.0,0,0,[],[]
/algorithms/assortativity/correlation.py_attribute_assortativity_coefficient,1.0,0,0,[],[]
/algorithms/assortativity/correlation.py_degree_assortativity_coefficient,1.0,0,0,[],[]
/algorithms/assortativity/correlation.py_degree_pearson_correlation_coefficient,1.0,0,0,[],[]
/algorithms/assortativity/correlation.py_numeric_assortativity_coefficient,1.0,0,0,[],[]
/algorithms/assortativity/mixing.py_attribute_mixing_dict,1.0,0,0,[],[]
/algorithms/assortativity/mixing.py_attribute_mixing_matrix,1.0,0,0,[],[]
/algorithms/assortativity/mixing.py_degree_mixing_dict,1.0,0,0,[],[]
/algorithms/assortativity/mixing.py_degree_mixing_matrix,1.0,0,0,[],[]
/algorithms/assortativity/mixing.py_mixing_dict,1.0,0,0,[],[]
/algorithms/assortativity/neighbor_degree.py_average_neighbor_degree,1.0,0,0,[],[]
/algorithms/assortativity/pairs.py_node_attribute_xy,1.0,0,0,[],[]
/algorithms/assortativity/pairs.py_node_degree_xy,1.0,0,0,[],[]
/algorithms/assortativity/tests/base_test.py_setup_class,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_connectivity.py_test_degree_barrat,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_connectivity.py_test_degree_p4,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_connectivity.py_test_degree_p4_weighted,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_connectivity.py_test_in_out_weight,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_connectivity.py_test_invalid_source,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_connectivity.py_test_invalid_target,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_connectivity.py_test_invalid_undirected_graph,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_connectivity.py_test_single_node,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_connectivity.py_test_weight_keyword,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_connectivity.py_test_zero_deg,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_correlation.py_test_assortativity_node_kwargs,0.0,1,0,['testing.assert_almost_equal'],[]
/algorithms/assortativity/tests/test_correlation.py_test_attribute_assortativity,0.5,2,1,['array' 'testing.assert_almost_equal'],['pdarraycreation.array']
/algorithms/assortativity/tests/test_correlation.py_test_attribute_assortativity_coefficient,0.5,2,1,['array' 'testing.assert_almost_equal'],['pdarraycreation.array']
/algorithms/assortativity/tests/test_correlation.py_test_attribute_assortativity_coefficient2,0.5,2,1,['array' 'testing.assert_almost_equal'],['pdarraycreation.array']
/algorithms/assortativity/tests/test_correlation.py_test_attribute_assortativity_directed,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_correlation.py_test_attribute_assortativity_float,0.0,1,0,['testing.assert_almost_equal'],[]
/algorithms/assortativity/tests/test_correlation.py_test_attribute_assortativity_mixed,0.0,1,0,['testing.assert_almost_equal'],[]
/algorithms/assortativity/tests/test_correlation.py_test_attribute_assortativity_multigraph,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_correlation.py_test_attribute_assortativity_negative,0.0,1,0,['testing.assert_almost_equal'],[]
/algorithms/assortativity/tests/test_correlation.py_test_attribute_assortativity_undirected,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_correlation.py_test_degree_assortativity_directed,0.0,1,0,['testing.assert_almost_equal'],[]
/algorithms/assortativity/tests/test_correlation.py_test_degree_assortativity_directed2,0.0,1,0,['testing.assert_almost_equal'],[]
/algorithms/assortativity/tests/test_correlation.py_test_degree_assortativity_double_star,0.0,1,0,['testing.assert_almost_equal'],[]
/algorithms/assortativity/tests/test_correlation.py_test_degree_assortativity_multigraph,0.0,1,0,['testing.assert_almost_equal'],[]
/algorithms/assortativity/tests/test_correlation.py_test_degree_assortativity_node_kwargs,0.0,1,0,['testing.assert_almost_equal'],[]
/algorithms/assortativity/tests/test_correlation.py_test_degree_assortativity_undirected,0.0,1,0,['testing.assert_almost_equal'],[]
/algorithms/assortativity/tests/test_correlation.py_test_degree_assortativity_weighted,0.0,1,0,['testing.assert_almost_equal'],[]
/algorithms/assortativity/tests/test_correlation.py_test_degree_pearson_assortativity_directed,0.0,1,0,['testing.assert_almost_equal'],[]
/algorithms/assortativity/tests/test_correlation.py_test_degree_pearson_assortativity_directed2,0.0,1,0,['testing.assert_almost_equal'],[]
/algorithms/assortativity/tests/test_correlation.py_test_degree_pearson_assortativity_multigraph,0.0,1,0,['testing.assert_almost_equal'],[]
/algorithms/assortativity/tests/test_correlation.py_test_degree_pearson_assortativity_undirected,0.0,1,0,['testing.assert_almost_equal'],[]
