,index,function_np,total_np_calls,num_sklearn_funs_used_by,used_by_sklearn,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
104,453,fill_diagonal,20.0,17.0,True,fill_diagonal,numpy.fill_diagonal,https://numpy.org/doc/stable/reference/generated/numpy.fill_diagonal.html,,,,False
105,454,cos,22.0,16.0,True,cos,numpy.cos,https://numpy.org/doc/stable/reference/generated/numpy.cos.html,arkouda.numeric.cos,numeric.cos,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cos,True
106,455,cos,22.0,16.0,True,cos,numpy.cos,https://numpy.org/doc/stable/reference/generated/numpy.cos.html,arkouda.array_api._elementwise_functions.cos,array_api._elementwise_functions.cos,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.cos,True
107,456,minimum,22.0,16.0,True,minimum,numpy.minimum,https://numpy.org/doc/stable/reference/generated/numpy.minimum.html,,,,False
108,457,testing.assert_allclose,21.0,16.0,True,assert_allclose,numpy.testing.assert_allclose,https://numpy.org/doc/stable/reference/generated/numpy.testing.assert_allclose.html,,,,False
109,458,issubdtype,17.0,16.0,True,issubdtype,numpy.issubdtype,https://numpy.org/doc/stable/reference/generated/numpy.issubdtype.html,,,,False
110,459,std,17.0,16.0,True,std,numpy.std,https://numpy.org/doc/stable/reference/generated/numpy.std.html,arkouda.pdarrayclass.std,pdarrayclass.std,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.std,True
111,460,std,17.0,16.0,True,std,numpy.std,https://numpy.org/doc/stable/reference/generated/numpy.std.html,arkouda.array_api._statistical_functions.std,array_api._statistical_functions.std,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._statistical_functions.std,True
112,461,logical_not,19.0,15.0,True,logical_not,numpy.logical_not,https://numpy.org/doc/stable/reference/generated/numpy.logical_not.html,arkouda.array_api._elementwise_functions.logical_not,array_api._elementwise_functions.logical_not,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.logical_not,True
113,462,searchsorted,19.0,15.0,True,searchsorted,numpy.searchsorted,https://numpy.org/doc/stable/reference/generated/numpy.searchsorted.html,,,,False
114,463,ravel,22.0,14.0,True,ravel,numpy.ravel,https://numpy.org/doc/stable/reference/generated/numpy.ravel.html,,,,False
115,464,iinfo,18.0,13.0,True,iinfo,numpy.iinfo,https://numpy.org/doc/stable/reference/generated/numpy.iinfo.html,,,,False
116,465,bool_,15.0,13.0,True,bool_,numpy.bool_,https://numpy.org/doc/stable/reference/generated/numpy.bool_.html,,,,False
117,466,logspace,15.0,13.0,True,logspace,numpy.logspace,https://numpy.org/doc/stable/reference/generated/numpy.logspace.html,,,,False
