,index,function_np,total_np_calls,num_networkx_funs_used_by,used_by_networkx,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
434,783,emath.sqrt,,,,sqrt,numpy.emath.sqrt,https://numpy.org/doc/stable/reference/generated/numpy.emath.sqrt.html,arkouda.pdarrayclass.sqrt,pdarrayclass.sqrt,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.sqrt,True
435,784,emath.sqrt,,,,sqrt,numpy.emath.sqrt,https://numpy.org/doc/stable/reference/generated/numpy.emath.sqrt.html,arkouda.array_api._elementwise_functions.sqrt,array_api._elementwise_functions.sqrt,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.sqrt,True
436,785,ma.empty,,,,empty,numpy.ma.empty,https://numpy.org/doc/stable/reference/generated/numpy.ma.empty.html,arkouda.array_api._creation_functions.empty,array_api._creation_functions.empty,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.empty,True
437,786,matlib.empty,,,,empty,numpy.matlib.empty,https://numpy.org/doc/stable/reference/generated/numpy.matlib.empty.html,arkouda.array_api._creation_functions.empty,array_api._creation_functions.empty,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.empty,True
438,787,empty_like,,,,empty_like,numpy.empty_like,https://numpy.org/doc/stable/reference/generated/numpy.empty_like.html,arkouda.array_api._creation_functions.empty_like,array_api._creation_functions.empty_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.empty_like,True
439,788,ma.empty_like,,,,empty_like,numpy.ma.empty_like,https://numpy.org/doc/stable/reference/generated/numpy.ma.empty_like.html,arkouda.array_api._creation_functions.empty_like,array_api._creation_functions.empty_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.empty_like,True
440,789,euler_gamma,,,,euler_gamma,numpy.euler_gamma,https://numpy.org/doc/stable/reference/generated/numpy.euler_gamma.html,,,,False
441,790,exceptions.AxisError,,,,AxisError,numpy.exceptions.AxisError,https://numpy.org/doc/stable/reference/generated/numpy.exceptions.AxisError.html,,,,False
442,791,exceptions.ComplexWarning,,,,ComplexWarning,numpy.exceptions.ComplexWarning,https://numpy.org/doc/stable/reference/generated/numpy.exceptions.ComplexWarning.html,,,,False
443,792,exceptions.DTypePromotionError,,,,DTypePromotionError,numpy.exceptions.DTypePromotionError,https://numpy.org/doc/stable/reference/generated/numpy.exceptions.DTypePromotionError.html,,,,False
444,793,exceptions.TooHardError,,,,TooHardError,numpy.exceptions.TooHardError,https://numpy.org/doc/stable/reference/generated/numpy.exceptions.TooHardError.html,,,,False
445,794,exceptions.VisibleDeprecationWarning,,,,VisibleDeprecationWarning,numpy.exceptions.VisibleDeprecationWarning,https://numpy.org/doc/stable/reference/generated/numpy.exceptions.VisibleDeprecationWarning.html,,,,False
446,795,exp,,,,exp,numpy.exp,https://numpy.org/doc/stable/reference/generated/numpy.exp.html,arkouda.numeric.exp,numeric.exp,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.exp,True
447,796,exp,,,,exp,numpy.exp,https://numpy.org/doc/stable/reference/generated/numpy.exp.html,arkouda.array_api._elementwise_functions.exp,array_api._elementwise_functions.exp,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.exp,True
448,797,exp2,,,,exp2,numpy.exp2,https://numpy.org/doc/stable/reference/generated/numpy.exp2.html,,,,False
449,798,expand_dims,,,,expand_dims,numpy.expand_dims,https://numpy.org/doc/stable/reference/generated/numpy.expand_dims.html,arkouda.array_api._manipulation_functions.expand_dims,array_api._manipulation_functions.expand_dims,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._manipulation_functions.expand_dims,True
450,799,ma.expand_dims,,,,expand_dims,numpy.ma.expand_dims,https://numpy.org/doc/stable/reference/generated/numpy.ma.expand_dims.html,arkouda.array_api._manipulation_functions.expand_dims,array_api._manipulation_functions.expand_dims,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._manipulation_functions.expand_dims,True
451,800,expm1,,,,expm1,numpy.expm1,https://numpy.org/doc/stable/reference/generated/numpy.expm1.html,arkouda.numeric.expm1,numeric.expm1,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.expm1,True
452,801,expm1,,,,expm1,numpy.expm1,https://numpy.org/doc/stable/reference/generated/numpy.expm1.html,arkouda.array_api._elementwise_functions.expm1,array_api._elementwise_functions.expm1,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.expm1,True
453,802,extract,,,,extract,numpy.extract,https://numpy.org/doc/stable/reference/generated/numpy.extract.html,,,,False
454,803,matlib.eye,,,,eye,numpy.matlib.eye,https://numpy.org/doc/stable/reference/generated/numpy.matlib.eye.html,arkouda.array_api._creation_functions.eye,array_api._creation_functions.eye,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.eye,True
455,804,fabs,,,,fabs,numpy.fabs,https://numpy.org/doc/stable/reference/generated/numpy.fabs.html,,,,False
456,805,fft.fft,,,,fft,numpy.fft.fft,https://numpy.org/doc/stable/reference/generated/numpy.fft.fft.html,,,,False
457,806,fft.fft2,,,,fft2,numpy.fft.fft2,https://numpy.org/doc/stable/reference/generated/numpy.fft.fft2.html,,,,False
458,807,fft.fftfreq,,,,fftfreq,numpy.fft.fftfreq,https://numpy.org/doc/stable/reference/generated/numpy.fft.fftfreq.html,,,,False
459,808,fft.fftn,,,,fftn,numpy.fft.fftn,https://numpy.org/doc/stable/reference/generated/numpy.fft.fftn.html,,,,False
460,809,fft.fftshift,,,,fftshift,numpy.fft.fftshift,https://numpy.org/doc/stable/reference/generated/numpy.fft.fftshift.html,,,,False
461,810,fft.hfft,,,,hfft,numpy.fft.hfft,https://numpy.org/doc/stable/reference/generated/numpy.fft.hfft.html,,,,False
462,811,fft.ifft,,,,ifft,numpy.fft.ifft,https://numpy.org/doc/stable/reference/generated/numpy.fft.ifft.html,,,,False
463,812,fft.ifft2,,,,ifft2,numpy.fft.ifft2,https://numpy.org/doc/stable/reference/generated/numpy.fft.ifft2.html,,,,False
464,813,fft.ifftn,,,,ifftn,numpy.fft.ifftn,https://numpy.org/doc/stable/reference/generated/numpy.fft.ifftn.html,,,,False
465,814,fft.ifftshift,,,,ifftshift,numpy.fft.ifftshift,https://numpy.org/doc/stable/reference/generated/numpy.fft.ifftshift.html,,,,False
466,815,fft.ihfft,,,,ihfft,numpy.fft.ihfft,https://numpy.org/doc/stable/reference/generated/numpy.fft.ihfft.html,,,,False
467,816,fft.irfft,,,,irfft,numpy.fft.irfft,https://numpy.org/doc/stable/reference/generated/numpy.fft.irfft.html,,,,False
468,817,fft.irfft2,,,,irfft2,numpy.fft.irfft2,https://numpy.org/doc/stable/reference/generated/numpy.fft.irfft2.html,,,,False
469,818,fft.irfftn,,,,irfftn,numpy.fft.irfftn,https://numpy.org/doc/stable/reference/generated/numpy.fft.irfftn.html,,,,False
470,819,fft.rfft,,,,rfft,numpy.fft.rfft,https://numpy.org/doc/stable/reference/generated/numpy.fft.rfft.html,,,,False
471,820,fft.rfft2,,,,rfft2,numpy.fft.rfft2,https://numpy.org/doc/stable/reference/generated/numpy.fft.rfft2.html,,,,False
472,821,fft.rfftfreq,,,,rfftfreq,numpy.fft.rfftfreq,https://numpy.org/doc/stable/reference/generated/numpy.fft.rfftfreq.html,,,,False
473,822,fft.rfftn,,,,rfftn,numpy.fft.rfftn,https://numpy.org/doc/stable/reference/generated/numpy.fft.rfftn.html,,,,False
474,823,find_common_type,,,,find_common_type,numpy.find_common_type,https://numpy.org/doc/stable/reference/generated/numpy.find_common_type.html,,,,False
475,824,finfo,,,,finfo,numpy.finfo,https://numpy.org/doc/stable/reference/generated/numpy.finfo.html,,,,False
476,825,fix,,,,fix,numpy.fix,https://numpy.org/doc/stable/reference/generated/numpy.fix.html,,,,False
477,826,flatiter,,,,flatiter,numpy.flatiter,https://numpy.org/doc/stable/reference/generated/numpy.flatiter.html,,,,False
478,827,flatnonzero,,,,flatnonzero,numpy.flatnonzero,https://numpy.org/doc/stable/reference/generated/numpy.flatnonzero.html,,,,False
479,828,flip,,,,flip,numpy.flip,https://numpy.org/doc/stable/reference/generated/numpy.flip.html,arkouda.array_api._manipulation_functions.flip,array_api._manipulation_functions.flip,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._manipulation_functions.flip,True
480,829,fliplr,,,,fliplr,numpy.fliplr,https://numpy.org/doc/stable/reference/generated/numpy.fliplr.html,,,,False
481,830,flipud,,,,flipud,numpy.flipud,https://numpy.org/doc/stable/reference/generated/numpy.flipud.html,,,,False
482,831,float_,,,,float_,numpy.float_,https://numpy.org/doc/stable/reference/generated/numpy.float_.html,,,,False
483,832,float_power,,,,float_power,numpy.float_power,https://numpy.org/doc/stable/reference/generated/numpy.float_power.html,,,,False
484,833,float128,,,,float128,numpy.float128,https://numpy.org/doc/stable/reference/generated/numpy.float128.html,,,,False
