scipy_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/signal/tests/test_short_time_fft.py_test_energy_conservation,0.74,19,14,"['argmax' 'sum' 'arange' 'random.seed' 'argmax' 'random.randn' 'pi'
 'finfo' 'zeros' 'array' 'zeros' 'float64' 'abs' 'sin' 'sum' 'sin' 'all'
 'all' 'arange']","['pdarrayclass.argmax' 'array_api._statistical_functions.sum'
 'array_api._creation_functions.arange'
 'array_api._searching_functions.argmax'
 'array_api._creation_functions.zeros' 'pdarraycreation.array'
 'pdarraycreation.zeros' 'dtypes.float64' 'numeric.sin' 'pdarrayclass.sum'
 'array_api._elementwise_functions.sin' 'pdarrayclass.all'
 'array_api._utility_functions.all' 'pdarraycreation.arange']"
/signal/tests/test_short_time_fft.py_test_exceptions_fft_mode_complex_win,1.0,2,2,['ones' 'ones'],['array_api._creation_functions.ones' 'pdarraycreation.ones']
/signal/tests/test_short_time_fft.py_test_exceptions_properties_methods,1.0,4,4,['zeros' 'zeros' 'ones' 'ones'],"['array_api._creation_functions.zeros' 'pdarraycreation.zeros'
 'array_api._creation_functions.ones' 'pdarraycreation.ones']"
/signal/tests/test_short_time_fft.py_test_extent,1.0,2,2,['ones' 'ones'],['pdarraycreation.ones' 'array_api._creation_functions.ones']
/signal/tests/test_short_time_fft.py_test_f,1.0,2,2,['ones' 'ones'],['pdarraycreation.ones' 'array_api._creation_functions.ones']
/signal/tests/test_short_time_fft.py_test_fft_func_roundtrip,0.5,4,2,['ones' 'random.seed' 'ones' 'random.rand'],['array_api._creation_functions.ones' 'pdarraycreation.ones']
/signal/tests/test_short_time_fft.py_test_from_window,1.0,2,2,['sqrt' 'sqrt'],['array_api._elementwise_functions.sqrt' 'pdarrayclass.sqrt']
/signal/tests/test_short_time_fft.py_test_impulse_roundtrip,0.8,5,4,['hstack' 'zeros' 'ones' 'ones' 'zeros'],"['array_api._creation_functions.zeros'
 'array_api._creation_functions.ones' 'pdarraycreation.ones'
 'pdarraycreation.zeros']"
/signal/tests/test_short_time_fft.py_test_invalid_fft_mode_RuntimeError,1.0,2,2,['ones' 'ones'],['pdarraycreation.ones' 'array_api._creation_functions.ones']
/signal/tests/test_short_time_fft.py_test_invalid_initializer_parameters,0.75,4,3,['array' 'ones' 'ones' 'inf'],"['pdarraycreation.array' 'array_api._creation_functions.ones'
 'pdarraycreation.ones']"
/signal/tests/test_short_time_fft.py_test_invertible,1.0,2,2,['ones' 'ones'],['pdarraycreation.ones' 'array_api._creation_functions.ones']
/signal/tests/test_short_time_fft.py_test_minimal_length_signal,1.0,2,2,['ones' 'ones'],['array_api._creation_functions.ones' 'pdarraycreation.ones']
/signal/tests/test_short_time_fft.py_test_permute_axes,0.75,8,6,['arange' 'arange' 'finfo' 'roll' 'reshape' 'ones' 'ones' 'moveaxis'],"['pdarraycreation.arange' 'array_api._creation_functions.arange'
 'array_api._manipulation_functions.roll'
 'array_api._manipulation_functions.reshape'
 'array_api._creation_functions.ones' 'pdarraycreation.ones']"
/signal/tests/test_short_time_fft.py_test_roundtrip_complex_window,0.57,7,4,['pi' 'random.seed' 'random.randn' 'linspace' 'exp' 'linspace' 'exp'],"['pdarraycreation.linspace' 'array_api._elementwise_functions.exp'
 'array_api._creation_functions.linspace' 'numeric.exp']"
/signal/tests/test_short_time_fft.py_test_roundtrip_windows,0.33,3,1,['float32' 'random.seed' 'random.randn'],['dtypes.float32']
/signal/tests/test_short_time_fft.py_test_scale_to,1.0,2,2,['ones' 'ones'],['array_api._creation_functions.ones' 'pdarraycreation.ones']
/signal/tests/test_short_time_fft.py_test_scaling,0.67,3,2,['fft.irfft' 'ones' 'ones'],['array_api._creation_functions.ones' 'pdarraycreation.ones']
/signal/tests/test_short_time_fft.py_test_spectrogram,1.0,4,4,['ones' 'ones' 'arange' 'arange'],"['array_api._creation_functions.ones' 'pdarraycreation.ones'
 'pdarraycreation.arange' 'array_api._creation_functions.arange']"
/signal/tests/test_short_time_fft.py_test_stft_padding_roundtrip,0.67,3,2,['pi' 'exp' 'exp'],['array_api._elementwise_functions.exp' 'numeric.exp']
/signal/tests/test_short_time_fft.py_test_t,1.0,4,4,['arange' 'ones' 'arange' 'ones'],"['pdarraycreation.arange' 'pdarraycreation.ones'
 'array_api._creation_functions.arange'
 'array_api._creation_functions.ones']"
/signal/tests/test_short_time_fft.py_test_tutorial_stft_legacy_spectrogram,0.8,5,4,['arange' 'arange' 'exp' 'exp' 'pi'],"['pdarraycreation.arange' 'array_api._creation_functions.arange'
 'array_api._elementwise_functions.exp' 'numeric.exp']"
/signal/tests/test_short_time_fft.py_test_tutorial_stft_legacy_stft,0.8,5,4,['pi' 'arange' 'arange' 'exp' 'exp'],"['pdarraycreation.arange' 'array_api._creation_functions.arange'
 'numeric.exp' 'array_api._elementwise_functions.exp']"
/signal/tests/test_short_time_fft.py_test_tutorial_stft_sliding_win,1.0,2,2,['ones' 'ones'],['pdarraycreation.ones' 'array_api._creation_functions.ones']
