,index,function_np,total_np_calls,num_pandas_funs_used_by,used_by_pandas,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
503,852,matrix.cumsum,,,,cumsum,numpy.matrix.cumsum,https://numpy.org/doc/stable/reference/generated/numpy.matrix.cumsum.html,arkouda.numeric.cumsum,numeric.cumsum,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumsum,True
504,853,ndarray.cumsum,,,,cumsum,numpy.ndarray.cumsum,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.cumsum.html,arkouda.numeric.cumsum,numeric.cumsum,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumsum,True
505,854,DataSource,,,,DataSource,numpy.DataSource,https://numpy.org/doc/stable/reference/generated/numpy.DataSource.html,,,,False
506,855,datetime_as_string,,,,datetime_as_string,numpy.datetime_as_string,https://numpy.org/doc/stable/reference/generated/numpy.datetime_as_string.html,,,,False
507,856,deg2rad,,,,deg2rad,numpy.deg2rad,https://numpy.org/doc/stable/reference/generated/numpy.deg2rad.html,arkouda.numeric.deg2rad,numeric.deg2rad,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.deg2rad,True
508,857,degrees,,,,degrees,numpy.degrees,https://numpy.org/doc/stable/reference/generated/numpy.degrees.html,,,,False
509,858,deprecate,,,,deprecate,numpy.deprecate,https://numpy.org/doc/stable/reference/generated/numpy.deprecate.html,,,,False
510,859,deprecate_with_doc,,,,deprecate_with_doc,numpy.deprecate_with_doc,https://numpy.org/doc/stable/reference/generated/numpy.deprecate_with_doc.html,,,,False
511,860,diag,,,,diag,numpy.diag,https://numpy.org/doc/stable/reference/generated/numpy.diag.html,,,,False
512,861,ma.diag,,,,diag,numpy.ma.diag,https://numpy.org/doc/stable/reference/generated/numpy.ma.diag.html,,,,False
513,862,diag_indices,,,,diag_indices,numpy.diag_indices,https://numpy.org/doc/stable/reference/generated/numpy.diag_indices.html,,,,False
514,863,diag_indices_from,,,,diag_indices_from,numpy.diag_indices_from,https://numpy.org/doc/stable/reference/generated/numpy.diag_indices_from.html,,,,False
515,864,diagflat,,,,diagflat,numpy.diagflat,https://numpy.org/doc/stable/reference/generated/numpy.diagflat.html,,,,False
516,865,ma.diagflat,,,,diagflat,numpy.ma.diagflat,https://numpy.org/doc/stable/reference/generated/numpy.ma.diagflat.html,,,,False
517,866,diagonal,,,,diagonal,numpy.diagonal,https://numpy.org/doc/stable/reference/generated/numpy.diagonal.html,,,,False
518,867,matrix.diagonal,,,,diagonal,numpy.matrix.diagonal,https://numpy.org/doc/stable/reference/generated/numpy.matrix.diagonal.html,,,,False
519,868,ndarray.diagonal,,,,diagonal,numpy.ndarray.diagonal,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.diagonal.html,,,,False
520,869,ma.diff,,,,diff,numpy.ma.diff,https://numpy.org/doc/stable/reference/generated/numpy.ma.diff.html,,,,False
521,870,digitize,,,,digitize,numpy.digitize,https://numpy.org/doc/stable/reference/generated/numpy.digitize.html,,,,False
522,871,disp,,,,disp,numpy.disp,https://numpy.org/doc/stable/reference/generated/numpy.disp.html,,,,False
523,872,distutils.ccompiler,,,,ccompiler,numpy.distutils.ccompiler,https://numpy.org/doc/stable/reference/generated/numpy.distutils.ccompiler.html,,,,False
524,873,distutils.ccompiler_opt,,,,ccompiler_opt,numpy.distutils.ccompiler_opt,https://numpy.org/doc/stable/reference/generated/numpy.distutils.ccompiler_opt.html,,,,False
525,874,distutils.core.Extension,,,,Extension,numpy.distutils.core.Extension,https://numpy.org/doc/stable/reference/generated/numpy.distutils.core.Extension.html,,,,False
526,875,distutils.cpuinfo.cpu,,,,cpu,numpy.distutils.cpuinfo.cpu,https://numpy.org/doc/stable/reference/generated/numpy.distutils.cpuinfo.cpu.html,,,,False
527,876,distutils.exec_command,,,,exec_command,numpy.distutils.exec_command,https://numpy.org/doc/stable/reference/generated/numpy.distutils.exec_command.html,,,,False
528,877,distutils.log.set_verbosity,,,,set_verbosity,numpy.distutils.log.set_verbosity,https://numpy.org/doc/stable/reference/generated/numpy.distutils.log.set_verbosity.html,,,,False
