,index,function_np,total_np_calls,num_statsmodels_funs_used_by,used_by_statsmodels,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
494,843,char.partition,,,,partition,numpy.char.partition,https://numpy.org/doc/stable/reference/generated/numpy.char.partition.html,,,,False
495,844,matrix.partition,,,,partition,numpy.matrix.partition,https://numpy.org/doc/stable/reference/generated/numpy.matrix.partition.html,,,,False
496,845,ndarray.partition,,,,partition,numpy.ndarray.partition,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.partition.html,,,,False
497,846,char.replace,,,,replace,numpy.char.replace,https://numpy.org/doc/stable/reference/generated/numpy.char.replace.html,,,,False
498,847,char.rfind,,,,rfind,numpy.char.rfind,https://numpy.org/doc/stable/reference/generated/numpy.char.rfind.html,,,,False
499,848,char.rindex,,,,rindex,numpy.char.rindex,https://numpy.org/doc/stable/reference/generated/numpy.char.rindex.html,,,,False
500,849,char.rjust,,,,rjust,numpy.char.rjust,https://numpy.org/doc/stable/reference/generated/numpy.char.rjust.html,,,,False
501,850,char.rpartition,,,,rpartition,numpy.char.rpartition,https://numpy.org/doc/stable/reference/generated/numpy.char.rpartition.html,,,,False
502,851,char.rsplit,,,,rsplit,numpy.char.rsplit,https://numpy.org/doc/stable/reference/generated/numpy.char.rsplit.html,,,,False
503,852,char.rstrip,,,,rstrip,numpy.char.rstrip,https://numpy.org/doc/stable/reference/generated/numpy.char.rstrip.html,,,,False
504,853,char.split,,,,split,numpy.char.split,https://numpy.org/doc/stable/reference/generated/numpy.char.split.html,,,,False
505,854,char.splitlines,,,,splitlines,numpy.char.splitlines,https://numpy.org/doc/stable/reference/generated/numpy.char.splitlines.html,,,,False
506,855,char.startswith,,,,startswith,numpy.char.startswith,https://numpy.org/doc/stable/reference/generated/numpy.char.startswith.html,arkouda.categorical.Categorical.startswith,categorical.Categorical.startswith,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical.Categorical.startswith,True
507,856,char.startswith,,,,startswith,numpy.char.startswith,https://numpy.org/doc/stable/reference/generated/numpy.char.startswith.html,arkouda.strings.Strings.startswith,strings.Strings.startswith,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.startswith,True
508,857,char.str_len,,,,str_len,numpy.char.str_len,https://numpy.org/doc/stable/reference/generated/numpy.char.str_len.html,,,,False
509,858,char.strip,,,,strip,numpy.char.strip,https://numpy.org/doc/stable/reference/generated/numpy.char.strip.html,,,,False
510,859,char.swapcase,,,,swapcase,numpy.char.swapcase,https://numpy.org/doc/stable/reference/generated/numpy.char.swapcase.html,,,,False
511,860,char.title,,,,title,numpy.char.title,https://numpy.org/doc/stable/reference/generated/numpy.char.title.html,,,,False
512,861,char.translate,,,,translate,numpy.char.translate,https://numpy.org/doc/stable/reference/generated/numpy.char.translate.html,,,,False
513,862,char.upper,,,,upper,numpy.char.upper,https://numpy.org/doc/stable/reference/generated/numpy.char.upper.html,arkouda.strings.Strings.upper,strings.Strings.upper,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.upper,True
514,863,char.zfill,,,,zfill,numpy.char.zfill,https://numpy.org/doc/stable/reference/generated/numpy.char.zfill.html,,,,False
