,index,function_np,total_np_calls,num_scipy_funs_used_by,used_by_scipy,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
81,430,prod,88.0,65.0,True,prod,numpy.prod,https://numpy.org/doc/stable/reference/generated/numpy.prod.html,arkouda.array_api._statistical_functions.prod,array_api._statistical_functions.prod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._statistical_functions.prod,True
82,431,maximum,79.0,61.0,True,maximum,numpy.maximum,https://numpy.org/doc/stable/reference/generated/numpy.maximum.html,,,,False
83,432,real,83.0,57.0,True,real,numpy.real,https://numpy.org/doc/stable/reference/generated/numpy.real.html,arkouda.array_api._elementwise_functions.real,array_api._elementwise_functions.real,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.real,True
84,433,unique,65.0,56.0,True,unique,numpy.unique,https://numpy.org/doc/stable/reference/generated/numpy.unique.html,arkouda.categorical.Categorical.unique,categorical.Categorical.unique,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical.Categorical.unique,True
85,434,unique,65.0,56.0,True,unique,numpy.unique,https://numpy.org/doc/stable/reference/generated/numpy.unique.html,arkouda.groupbyclass.unique,groupbyclass.unique,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.groupbyclass.unique,True
86,435,logspace,82.0,52.0,True,logspace,numpy.logspace,https://numpy.org/doc/stable/reference/generated/numpy.logspace.html,,,,False
87,436,min,76.0,52.0,True,min,numpy.min,https://numpy.org/doc/stable/reference/generated/numpy.min.html,arkouda.pdarrayclass.min,pdarrayclass.min,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.min,True
88,437,min,76.0,52.0,True,min,numpy.min,https://numpy.org/doc/stable/reference/generated/numpy.min.html,arkouda.array_api._statistical_functions.min,array_api._statistical_functions.min,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._statistical_functions.min,True
89,438,broadcast_arrays,63.0,52.0,True,broadcast_arrays,numpy.broadcast_arrays,https://numpy.org/doc/stable/reference/generated/numpy.broadcast_arrays.html,arkouda.array_api._manipulation_functions.broadcast_arrays,array_api._manipulation_functions.broadcast_arrays,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._manipulation_functions.broadcast_arrays,True
90,439,ones_like,62.0,52.0,True,ones_like,numpy.ones_like,https://numpy.org/doc/stable/reference/generated/numpy.ones_like.html,arkouda.pdarraycreation.ones_like,pdarraycreation.ones_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.ones_like,True
91,440,ones_like,62.0,52.0,True,ones_like,numpy.ones_like,https://numpy.org/doc/stable/reference/generated/numpy.ones_like.html,arkouda.array_api._creation_functions.ones_like,array_api._creation_functions.ones_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.ones_like,True
92,441,moveaxis,86.0,51.0,True,moveaxis,numpy.moveaxis,https://numpy.org/doc/stable/reference/generated/numpy.moveaxis.html,,,,False
93,442,intp,75.0,51.0,True,intp,numpy.intp,https://numpy.org/doc/stable/reference/generated/numpy.intp.html,,,,False
94,443,power,89.0,49.0,True,power,numpy.power,https://numpy.org/doc/stable/reference/generated/numpy.power.html,arkouda.pdarrayclass.power,pdarrayclass.power,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.power,True
95,444,copy,67.0,49.0,True,copy,numpy.copy,https://numpy.org/doc/stable/reference/generated/numpy.copy.html,,,,False
96,445,empty_like,62.0,48.0,True,empty_like,numpy.empty_like,https://numpy.org/doc/stable/reference/generated/numpy.empty_like.html,arkouda.array_api._creation_functions.empty_like,array_api._creation_functions.empty_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.empty_like,True
97,446,broadcast_to,73.0,47.0,True,broadcast_to,numpy.broadcast_to,https://numpy.org/doc/stable/reference/generated/numpy.broadcast_to.html,arkouda.array_api._manipulation_functions.broadcast_to,array_api._manipulation_functions.broadcast_to,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._manipulation_functions.broadcast_to,True
98,447,int8,66.0,44.0,True,int8,numpy.int8,https://numpy.org/doc/stable/reference/generated/numpy.int8.html,arkouda.dtypes.int8,dtypes.int8,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.dtypes.int8,True
99,448,iscomplexobj,61.0,44.0,True,iscomplexobj,numpy.iscomplexobj,https://numpy.org/doc/stable/reference/generated/numpy.iscomplexobj.html,,,,False
100,449,sign,71.0,43.0,True,sign,numpy.sign,https://numpy.org/doc/stable/reference/generated/numpy.sign.html,arkouda.numeric.sign,numeric.sign,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.sign,True
101,450,sign,71.0,43.0,True,sign,numpy.sign,https://numpy.org/doc/stable/reference/generated/numpy.sign.html,arkouda.array_api._elementwise_functions.sign,array_api._elementwise_functions.sign,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.sign,True
102,451,isscalar,65.0,43.0,True,isscalar,numpy.isscalar,https://numpy.org/doc/stable/reference/generated/numpy.isscalar.html,,,,False
103,452,complexfloating,63.0,43.0,True,complexfloating,numpy.complexfloating,https://numpy.org/doc/stable/reference/generated/numpy.complexfloating.html,,,,False
104,453,identity,88.0,42.0,True,identity,numpy.identity,https://numpy.org/doc/stable/reference/generated/numpy.identity.html,arkouda.util.identity,util.identity,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.util.identity,True
105,454,result_type,52.0,42.0,True,result_type,numpy.result_type,https://numpy.org/doc/stable/reference/generated/numpy.result_type.html,arkouda.array_api._data_type_functions.result_type,array_api._data_type_functions.result_type,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._data_type_functions.result_type,True
106,455,array_equal,78.0,41.0,True,array_equal,numpy.array_equal,https://numpy.org/doc/stable/reference/generated/numpy.array_equal.html,,,,False
107,456,isinf,65.0,41.0,True,isinf,numpy.isinf,https://numpy.org/doc/stable/reference/generated/numpy.isinf.html,arkouda.numeric.isinf,numeric.isinf,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.isinf,True
108,457,isinf,65.0,41.0,True,isinf,numpy.isinf,https://numpy.org/doc/stable/reference/generated/numpy.isinf.html,arkouda.array_api._elementwise_functions.isinf,array_api._elementwise_functions.isinf,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.isinf,True
109,458,insert,46.0,41.0,True,insert,numpy.insert,https://numpy.org/doc/stable/reference/generated/numpy.insert.html,,,,False
110,459,uint8,43.0,41.0,True,uint8,numpy.uint8,https://numpy.org/doc/stable/reference/generated/numpy.uint8.html,arkouda.dtypes.uint8,dtypes.uint8,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.dtypes.uint8,True
