,index,function_np,total_np_calls,num_nltk_funs_used_by,used_by_nltk,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
837,837,ma.vstack,,,,vstack,numpy.ma.vstack,https://numpy.org/doc/stable/reference/generated/numpy.ma.vstack.html,,,,False
838,838,vstack,,,,vstack,numpy.vstack,https://numpy.org/doc/stable/reference/generated/numpy.vstack.html,,,,False
839,839,ma.where,,,,where,numpy.ma.where,https://numpy.org/doc/stable/reference/generated/numpy.ma.where.html,arkouda.numeric.where,numeric.where,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.where,True
840,840,ma.where,,,,where,numpy.ma.where,https://numpy.org/doc/stable/reference/generated/numpy.ma.where.html,arkouda.array_api._searching_functions.where,array_api._searching_functions.where,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._searching_functions.where,True
841,841,where,,,,where,numpy.where,https://numpy.org/doc/stable/reference/generated/numpy.where.html,arkouda.numeric.where,numeric.where,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.where,True
842,842,where,,,,where,numpy.where,https://numpy.org/doc/stable/reference/generated/numpy.where.html,arkouda.array_api._searching_functions.where,array_api._searching_functions.where,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._searching_functions.where,True
843,843,ma.zeros,,,,zeros,numpy.ma.zeros,https://numpy.org/doc/stable/reference/generated/numpy.ma.zeros.html,arkouda.pdarraycreation.zeros,pdarraycreation.zeros,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.zeros,True
844,844,ma.zeros,,,,zeros,numpy.ma.zeros,https://numpy.org/doc/stable/reference/generated/numpy.ma.zeros.html,arkouda.array_api._creation_functions.zeros,array_api._creation_functions.zeros,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.zeros,True
845,845,matlib.zeros,,,,zeros,numpy.matlib.zeros,https://numpy.org/doc/stable/reference/generated/numpy.matlib.zeros.html,arkouda.pdarraycreation.zeros,pdarraycreation.zeros,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.zeros,True
846,846,matlib.zeros,,,,zeros,numpy.matlib.zeros,https://numpy.org/doc/stable/reference/generated/numpy.matlib.zeros.html,arkouda.array_api._creation_functions.zeros,array_api._creation_functions.zeros,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.zeros,True
847,847,ma.zeros_like,,,,zeros_like,numpy.ma.zeros_like,https://numpy.org/doc/stable/reference/generated/numpy.ma.zeros_like.html,arkouda.pdarraycreation.zeros_like,pdarraycreation.zeros_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.zeros_like,True
848,848,ma.zeros_like,,,,zeros_like,numpy.ma.zeros_like,https://numpy.org/doc/stable/reference/generated/numpy.ma.zeros_like.html,arkouda.array_api._creation_functions.zeros_like,array_api._creation_functions.zeros_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.zeros_like,True
849,849,zeros_like,,,,zeros_like,numpy.zeros_like,https://numpy.org/doc/stable/reference/generated/numpy.zeros_like.html,arkouda.pdarraycreation.zeros_like,pdarraycreation.zeros_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.zeros_like,True
850,850,zeros_like,,,,zeros_like,numpy.zeros_like,https://numpy.org/doc/stable/reference/generated/numpy.zeros_like.html,arkouda.array_api._creation_functions.zeros_like,array_api._creation_functions.zeros_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.zeros_like,True
851,851,mask_indices,,,,mask_indices,numpy.mask_indices,https://numpy.org/doc/stable/reference/generated/numpy.mask_indices.html,,,,False
852,852,mat,,,,mat,numpy.mat,https://numpy.org/doc/stable/reference/generated/numpy.mat.html,,,,False
853,853,matlib.rand,,,,rand,numpy.matlib.rand,https://numpy.org/doc/stable/reference/generated/numpy.matlib.rand.html,,,,False
854,854,random.rand,,,,rand,numpy.random.rand,https://numpy.org/doc/stable/reference/generated/numpy.random.rand.html,,,,False
855,855,random.RandomState.rand,,,,rand,numpy.random.RandomState.rand,https://numpy.org/doc/stable/reference/generated/numpy.random.RandomState.rand.html,,,,False
856,856,matlib.randn,,,,randn,numpy.matlib.randn,https://numpy.org/doc/stable/reference/generated/numpy.matlib.randn.html,,,,False
857,857,random.randn,,,,randn,numpy.random.randn,https://numpy.org/doc/stable/reference/generated/numpy.random.randn.html,,,,False
858,858,random.RandomState.randn,,,,randn,numpy.random.RandomState.randn,https://numpy.org/doc/stable/reference/generated/numpy.random.RandomState.randn.html,,,,False
859,859,matlib.repmat,,,,repmat,numpy.matlib.repmat,https://numpy.org/doc/stable/reference/generated/numpy.matlib.repmat.html,,,,False
